Generic               ,NfsA_buffer E_0p1mm#003001.gen,,,,,
Date                  ,2018-11-26T20:14:00,,,,,
Low Wavelength        ,180,,,,,
High Wavelength       ,300,,,,,
Interval (nm)         ,0.2,,,,,
Machine               ,J715,,,,,
Smoothing window      ,31,,,,,
Units                 ,mdeg,,,,,
Zeroed between        ,263,300,,,,
Baselines             ,blank_buffer E_0p1mm#004001.txt::blank_buffer E_0p1mm#004002.txt::blank_buffer E_0p1mm#004003.txt::blank_buffer E_0p1mm#004004.txt::blank_buffer E_0p1mm#004005.txt,,,,,
Samples               ,NfsA_buffer E_0p1mm#003001.txt::NfsA_buffer E_0p1mm#003002.txt::NfsA_buffer E_0p1mm#003003.txt::NfsA_buffer E_0p1mm#003004.txt::NfsA_buffer E_0p1mm#003005.txt,,,,,
274.6,4.26543E-02,2.46881E+02,6.87993E-02,7.06E-01,1.06008E-01,1.15605E-01
274.4,3.57723E-02,2.46956E+02,6.8027E-02,7.18E-01,8.28498E-02,9.33707E-02
274.2,6.46963E-02,2.47029E+02,6.44461E-02,7.256E-01,8.78348E-02,1.10743E-01
274,6.40643E-02,2.47086E+02,5.90899E-02,7.164E-01,7.07367E-02,1.5153E-01
273.8,6.87363E-02,2.4716E+02,4.89466E-02,7.13E-01,1.08046E-01,1.44095E-01
273.6,8.48323E-02,2.47221E+02,4.29939E-02,7.06E-01,8.17264E-02,1.12503E-01
273.4,7.81543E-02,2.47286E+02,3.88998E-02,6.936E-01,1.05514E-01,1.11056E-01
273.2,1.03884E-01,2.47344E+02,3.30493E-02,6.888E-01,1.36271E-01,8.7485E-02
273,1.18468E-01,2.47401E+02,3.02045E-02,6.886E-01,1.34764E-01,9.69363E-02
272.8,4.14303E-02,2.47467E+02,2.8301E-02,6.884E-01,1.29995E-01,7.15543E-02
272.6,2.29228E-03,2.47533E+02,2.50071E-02,6.928E-01,7.71268E-02,4.62821E-02
272.4,-1.56917E-02,2.47607E+02,2.22737E-02,7.04E-01,8.28349E-02,7.84184E-02
272.2,-5.79637E-02,2.47683E+02,2.14459E-02,7.092E-01,1.02616E-01,8.3978E-02
272,-3.93497E-02,2.47765E+02,2.08474E-02,7.26E-01,8.8145E-02,8.55746E-02
271.8,-3.16537E-02,2.47843E+02,1.96562E-02,7.454E-01,8.1205E-02,8.73391E-02
271.6,-5.51837E-02,2.4792E+02,1.84936E-02,7.52E-01,2.14148E-02,1.15662E-01
271.4,-3.17372E-03,2.48008E+02,1.54631E-02,7.544E-01,6.1153E-02,1.68104E-01
271.2,3.56783E-02,2.48089E+02,1.18899E-02,7.488E-01,7.39004E-02,1.55568E-01
271,4.56503E-02,2.48174E+02,1.20998E-02,7.438E-01,7.25487E-02,1.31082E-01
270.8,1.02728E-01,2.4827E+02,1.24057E-02,7.446E-01,5.53269E-02,9.7178E-02
270.6,4.20063E-02,2.48355E+02,1.50753E-02,7.382E-01,6.50146E-02,5.75775E-02
270.4,-4.09572E-03,2.48442E+02,2.13755E-02,7.368E-01,5.93312E-02,6.367E-02
270.2,1.56123E-02,2.48533E+02,2.52637E-02,7.276E-01,5.0457E-02,5.52969E-02
270,2.87203E-02,2.48612E+02,3.07569E-02,7.144E-01,7.8447E-02,5.78153E-02
269.8,4.56923E-02,2.48698E+02,3.64063E-02,7.196E-01,1.08457E-01,3.9289E-02
269.6,7.73923E-02,2.48777E+02,4.00378E-02,7.268E-01,1.11417E-01,5.3123E-02
269.4,8.13343E-02,2.48855E+02,4.46453E-02,7.342E-01,9.50589E-02,4.09463E-02
269.2,3.09063E-02,2.48931E+02,4.76392E-02,7.502E-01,5.52478E-02,5.12649E-02
269,2.12683E-02,2.48998E+02,4.92331E-02,7.564E-01,8.12869E-02,8.36379E-02
268.8,2.35583E-02,2.49069E+02,4.9736E-02,7.574E-01,4.60662E-02,9.76303E-02
268.6,1.97483E-02,2.49139E+02,4.84259E-02,7.616E-01,7.6498E-02,1.07468E-01
268.4,6.69403E-02,2.49207E+02,4.45222E-02,7.648E-01,8.93716E-02,7.05585E-02
268.2,8.55843E-02,2.49278E+02,4.37231E-02,7.662E-01,1.14983E-01,7.56436E-02
268,5.15983E-02,2.4935E+02,4.62776E-02,7.592E-01,1.21055E-01,8.58468E-02
267.8,6.49763E-02,2.49425E+02,4.8828E-02,7.576E-01,1.19018E-01,4.92589E-02
267.6,3.52863E-02,2.49509E+02,5.61923E-02,7.546E-01,1.01138E-01,6.23215E-02
267.4,-1.81997E-02,2.49595E+02,6.13419E-02,7.514E-01,1.00447E-01,6.7241E-02
267.2,3.22863E-02,2.49681E+02,6.22701E-02,7.502E-01,1.04776E-01,3.52763E-02
267,4.75683E-02,2.49766E+02,6.32282E-02,7.436E-01,8.49699E-02,6.09913E-02
266.8,9.97783E-02,2.49847E+02,6.24013E-02,7.326E-01,5.31534E-02,4.37863E-02
266.6,1.04306E-01,2.49929E+02,5.95003E-02,7.276E-01,4.26273E-02,5.66384E-02
266.4,5.90463E-02,2.50018E+02,5.74932E-02,7.254E-01,4.33592E-02,7.37E-02
266.2,7.24743E-02,2.50112E+02,5.66428E-02,7.314E-01,6.31811E-02,7.17185E-02
266,4.32303E-02,2.5021E+02,5.48818E-02,7.388E-01,7.42932E-02,1.04278E-01
265.8,6.07903E-02,2.50304E+02,5.53017E-02,7.494E-01,9.56812E-02,9.47523E-02
265.6,9.21983E-02,2.50411E+02,5.74342E-02,7.608E-01,8.21654E-02,5.97158E-02
265.4,1.11348E-01,2.50513E+02,5.79565E-02,7.638E-01,5.99538E-02,6.91757E-02
265.2,9.03123E-02,2.50614E+02,5.8398E-02,7.678E-01,8.29163E-02,8.11907E-02
265,5.45523E-02,2.50721E+02,5.93379E-02,7.696E-01,1.14703E-01,7.95476E-02
264.8,6.13863E-02,2.50828E+02,5.87571E-02,7.646E-01,8.66474E-02,1.13871E-01
264.6,2.19863E-02,2.50935E+02,6.14216E-02,7.632E-01,1.02322E-01,6.56431E-02
264.4,-2.5372E-04,2.51044E+02,6.4111E-02,7.606E-01,7.36657E-02,7.13943E-02
264.2,1.59563E-02,2.51151E+02,6.59259E-02,7.532E-01,6.68918E-02,5.01217E-02
264,7.64228E-03,2.51249E+02,7.13334E-02,7.39E-01,8.55181E-02,5.90638E-02
263.8,3.89623E-02,2.5135E+02,7.67224E-02,7.286E-01,3.58773E-02,4.57881E-02
263.6,9.93703E-02,2.51453E+02,8.45723E-02,7.266E-01,5.80053E-02,3.1613E-02
263.4,1.3606E-01,2.51562E+02,9.28898E-02,7.272E-01,5.09817E-02,6.42006E-02
263.2,1.52656E-01,2.51679E+02,9.6744E-02,7.388E-01,8.22684E-02,7.26689E-02
263,1.50562E-01,2.51793E+02,1.02835E-01,7.508E-01,8.80093E-02,4.63962E-02
262.8,1.06532E-01,2.519E+02,1.10311E-01,7.552E-01,5.21504E-02,5.92653E-02
262.6,6.78023E-02,2.52003E+02,1.19196E-01,7.546E-01,2.89253E-02,5.26321E-02
262.4,8.65743E-02,2.52107E+02,1.31389E-01,7.6E-01,3.74755E-02,6.03201E-02
262.2,1.42636E-01,2.52216E+02,1.44056E-01,7.654E-01,7.9987E-02,4.49527E-02
262,1.82696E-01,2.52315E+02,1.54653E-01,7.534E-01,1.12799E-01,3.33296E-02
261.8,2.19234E-01,2.52418E+02,1.64978E-01,7.53E-01,1.10765E-01,5.67429E-02
261.6,2.01978E-01,2.52526E+02,1.74343E-01,7.53E-01,1.42043E-01,5.09808E-02
261.4,1.98796E-01,2.52631E+02,1.80822E-01,7.52E-01,1.36283E-01,2.77285E-02
261.2,1.68062E-01,2.52747E+02,1.8357E-01,7.518E-01,1.38156E-01,4.84483E-02
261,1.35448E-01,2.52864E+02,1.84016E-01,7.516E-01,1.00153E-01,7.96491E-02
260.8,1.4643E-01,2.52976E+02,1.83309E-01,7.398E-01,1.10072E-01,7.44087E-02
260.6,1.55636E-01,2.53078E+02,1.81649E-01,7.262E-01,1.35083E-01,5.89568E-02
260.4,1.6958E-01,2.53188E+02,1.80276E-01,7.288E-01,1.44191E-01,8.86852E-02
260.2,2.40276E-01,2.53298E+02,1.79303E-01,7.33E-01,1.49537E-01,5.35128E-02
260,2.34112E-01,2.53415E+02,1.77973E-01,7.35E-01,1.06088E-01,4.64868E-02
259.8,1.88536E-01,2.53535E+02,1.73434E-01,7.386E-01,7.82582E-02,7.5954E-02
259.6,1.74898E-01,2.53665E+02,1.65529E-01,7.4E-01,8.50871E-02,7.32853E-02
259.4,1.32826E-01,2.53794E+02,1.53618E-01,7.3E-01,1.29494E-01,9.4884E-02
259.2,1.37764E-01,2.53927E+02,1.39284E-01,7.224E-01,1.45999E-01,1.42094E-01
259,1.57698E-01,2.54066E+02,1.27159E-01,7.296E-01,1.15108E-01,1.50057E-01
258.8,1.11416E-01,2.54201E+02,1.18303E-01,7.318E-01,1.11466E-01,1.18802E-01
258.6,1.08008E-01,2.54341E+02,1.11721E-01,7.304E-01,1.30351E-01,1.11517E-01
258.4,8.78023E-02,2.54483E+02,1.02574E-01,7.34E-01,1.24892E-01,9.53688E-02
258.2,8.74963E-02,2.54617E+02,9.39592E-02,7.244E-01,1.01898E-01,6.65164E-02
258,9.47463E-02,2.5475E+02,8.27826E-02,7.158E-01,7.85297E-02,7.47877E-02
257.8,4.71563E-02,2.54879E+02,6.83525E-02,7.182E-01,5.9404E-02,5.52451E-02
257.6,2.71323E-02,2.55018E+02,5.45673E-02,7.264E-01,8.57959E-02,3.76824E-02
257.4,2.17123E-02,2.55157E+02,3.91464E-02,7.292E-01,5.80807E-02,2.77589E-02
257.2,3.66228E-03,2.55284E+02,2.28673E-02,7.222E-01,2.69738E-02,4.29762E-02
257,-1.33357E-02,2.55426E+02,1.10038E-02,7.208E-01,5.92428E-02,2.93383E-02
256.8,1.72303E-02,2.5557E+02,-1.51505E-03,7.154E-01,7.28704E-02,5.64622E-02
256.6,7.85028E-03,2.55711E+02,-1.61883E-02,7.146E-01,7.57758E-02,1.02568E-01
256.4,3.40428E-03,2.55867E+02,-2.97388E-02,7.238E-01,8.0003E-02,1.19584E-01
256.2,2.49823E-02,2.56021E+02,-4.50452E-02,7.266E-01,7.32079E-02,1.18755E-01
256,2.16628E-03,2.56165E+02,-5.78208E-02,7.254E-01,9.38129E-02,1.52499E-01
255.8,-5.24237E-02,2.5631E+02,-6.4007E-02,7.238E-01,8.29411E-02,1.18951E-01
255.6,-8.74097E-02,2.5646E+02,-7.03876E-02,7.266E-01,1.17525E-01,8.69308E-02
255.4,-7.06917E-02,2.56604E+02,-7.29012E-02,7.18E-01,1.04766E-01,1.23757E-01
255.2,-1.03476E-01,2.56758E+02,-7.08966E-02,7.086E-01,1.06012E-01,1.2309E-01
255,-1.05254E-01,2.56926E+02,-6.64977E-02,7.146E-01,9.16947E-02,1.16526E-01
254.8,-9.84577E-02,2.57087E+02,-5.50061E-02,7.036E-01,1.01129E-01,1.02052E-01
254.6,-1.3047E-01,2.57242E+02,-4.28325E-02,6.94E-01,5.81717E-02,1.73011E-01
254.4,-1.106E-01,2.57406E+02,-3.24906E-02,6.994E-01,5.96185E-02,1.83003E-01
254.2,-8.54597E-02,2.57576E+02,-2.27784E-02,6.998E-01,9.2965E-02,1.58476E-01
254,-8.91537E-02,2.57739E+02,-1.87281E-02,6.964E-01,8.19386E-02,1.34665E-01
253.8,-4.18437E-02,2.57907E+02,-1.99331E-02,6.956E-01,7.7284E-02,9.64938E-02
253.6,1.00263E-02,2.58079E+02,-1.9238E-02,7.018E-01,6.94284E-02,8.59637E-02
253.4,3.30063E-02,2.58242E+02,-1.59689E-02,7.026E-01,6.15917E-02,2.93784E-02
